text,score
dolor de ojos,0
💩 ni gratis la veo,0
no pierdas tu tiempo,0
me dormí,0
🎬 dolor de ojos,0
no pierdas tu tiempo,0
😍 aburridísima,0
🔥 dolor de ojos,0
de lo peor,0
no pierdas tu tiempo,0
horrible,0
aburridísima,0
pésima demasiado,0
😭 ni gratis la veo,0
pésima demasiado,0
horrible,0
horrible,0
dolor de ojos,0
basura total de verdad,0
🔥 dolor de ojos,0
dolor de ojos,0
me dormí,0
pésima,0
💩 de lo peor,0
😴 basura total,0
me dormí,0
horrible,0
aburridísima en serio,0
ni gratis la veo,0
😴 me dormí,0
💩 infumable,0
pésima,0
🔥 de lo peor,0
aburridísima,0
infumable,0
ni gratis la veo,0
😴 me dormí,0
ni gratis la veo mucho,0
🎬 aburridísima,0
me dormí,0
💩 me dormí,0
no pierdas tu tiempo,0
aburridísima,0
😍 de lo peor,0
infumable mal,0
ni gratis la veo,0
dolor de ojos de verdad,0
de lo peor,0
ni gratis la veo,0
infumable,0
🔥 basura total,0
aburridísima,0
horrible,0
aburridísima,0
de lo peor,0
pésima,0
ni gratis la veo,0
pésima en serio,0
no pierdas tu tiempo,0
basura total demasiado,0
dolor de ojos,0
dolor de ojos,0
dolor de ojos,0
😭 infumable,0
😴 no pierdas tu tiempo,0
aburridísima,0
infumable,0
me dormí,0
basura total,0
ni gratis la veo,0
ni gratis la veo,0
me dormí,0
aburridísima,0
pésima posta,0
pésima en serio,0
pésima,0
me dormí,0
😍 pésima,0
ni gratis la veo,0
aburridísima,0
😭 pésima,0
no pierdas tu tiempo,0
pésima mucho,0
pésima,0
😭 horrible,0
💩 dolor de ojos,0
🔥 ni gratis la veo,0
🎬 basura total,0
🔥 me dormí,0
basura total,0
horrible,0
me dormí en serio,0
💩 aburridísima,0
no pierdas tu tiempo demasiado,0
basura total posta,0
basura total,0
😭 me dormí,0
pésima mucho,0
🎬 dolor de ojos,0
pésima,0
ni gratis la veo,0
ni gratis la veo de verdad,0
😴 aburridísima,0
pésima en serio,0
pésima,0
horrible,0
de lo peor,0
no pierdas tu tiempo posta,0
me dormí en serio,0
🎬 de lo peor,0
aburridísima,0
🎬 basura total,0
💩 infumable,0
me dormí,0
ni gratis la veo,0
pésima,0
pésima posta,0
😭 me dormí,0
dolor de ojos,0
me dormí,0
infumable,0
dolor de ojos mal,0
ni gratis la veo mucho,0
😍 no pierdas tu tiempo,0
😍 ni gratis la veo,0
😍 horrible,0
🔥 me dormí,0
dolor de ojos,0
me dormí,0
ni gratis la veo,0
ni gratis la veo,0
basura total,0
infumable en serio,0
no pierdas tu tiempo de verdad,0
😴 me dormí,0
horrible,0
de lo peor,0
me dormí,0
😭 de lo peor,0
🎬 ni gratis la veo,0
😍 no pierdas tu tiempo,0
de lo peor,0
infumable,0
pésima,0
de lo peor,0
infumable posta,0
😭 no pierdas tu tiempo,0
de lo peor,0
💩 basura total,0
no pierdas tu tiempo,0
💩 basura total,0
de lo peor,0
🎬 basura total,0
infumable,0
aburridísima,0
🔥 aburridísima,0
🎬 ni gratis la veo,0
😍 pésima,0
horrible,0
🎬 me dormí,0
de lo peor,0
de lo peor posta,0
ni gratis la veo,0
pésima mal,0
basura total,0
ni gratis la veo,0
😭 pésima,0
no pierdas tu tiempo,0
no pierdas tu tiempo,0
😭 basura total,0
dolor de ojos,0
infumable,0
🔥 ni gratis la veo,0
aburridísima,0
infumable,0
no pierdas tu tiempo,0
infumable,0
de lo peor,0
pésima,0
aburridísima,0
me dormí,0
me dormí,0
infumable,0
dolor de ojos,0
😍 basura total,0
dolor de ojos posta,0
😍 aburridísima,0
infumable,0
😴 aburridísima,0
me dormí,0
😭 aburridísima,0
ni gratis la veo,0
ni gratis la veo,0
💩 ni gratis la veo,0
basura total,0
🔥 infumable,0
😴 basura total,0
😭 aburridísima,0
dolor de ojos,0
😍 basura total,0
😍 de lo peor,0
pésima mucho,0
de lo peor,0
no pierdas tu tiempo,0
😍 infumable,0
pésima mal,0
no pierdas tu tiempo,0
😭 dolor de ojos,0
💩 infumable,0
😴 basura total,0
de lo peor de verdad,0
😴 horrible,0
aburridísima,0
no pierdas tu tiempo,0
😭 infumable,0
dolor de ojos de verdad,0
pésima,0
🎬 basura total,0
basura total,0
de lo peor mucho,0
infumable,0
ni gratis la veo,0
horrible,0
no pierdas tu tiempo,0
🔥 basura total,0
no pierdas tu tiempo,0
dolor de ojos,0
basura total,0
me dormí,0
de lo peor,0
😍 de lo peor,0
pésima,0
😴 no pierdas tu tiempo,0
horrible,0
🎬 no pierdas tu tiempo,0
me dormí posta,0
😴 no pierdas tu tiempo,0
ni gratis la veo,0
😍 basura total,0
no pierdas tu tiempo,0
😴 de lo peor,0
de lo peor,0
ni gratis la veo,0
dolor de ojos,0
🎬 horrible,0
pésima mal,0
pésima,0
no pierdas tu tiempo,0
me dormí de verdad,0
horrible,0
aburridísima,0
aburridísima,0
🎬 dolor de ojos,0
dolor de ojos en serio,0
horrible,0
pésima,0
dolor de ojos,0
pésima,0
no pierdas tu tiempo mucho,0
horrible,0
me dormí en serio,0
no pierdas tu tiempo,0
de lo peor en serio,0
🔥 infumable,0
de lo peor mucho,0
me dormí,0
de lo peor,0
aburridísima,0
dolor de ojos posta,0
😍 aburridísima,0
basura total,0
de lo peor,0
💩 de lo peor,0
😭 pésima,0
ni gratis la veo,0
infumable,0
dolor de ojos de verdad,0
😴 me dormí,0
😭 no pierdas tu tiempo,0
horrible,0
infumable,0
no pierdas tu tiempo,0
💩 aburridísima,0
🎬 no pierdas tu tiempo,0
no pierdas tu tiempo demasiado,0
infumable,0
aburridísima,0
no me gustó,1
re mala,1
del asco,1
meh total,1
😭 no me gustó,1
ultra pésima,1
🎬 olvidable,1
no me gustó mal,1
olvidable,1
muy lenta,1
actuaciones flojas,1
re mala,1
nada rescatable,1
re mala de verdad,1
re mala mal,1
muy lenta,1
😭 muy lenta,1
olvidable,1
re mala,1
😴 re mala,1
🎬 guion flojo,1
del asco mal,1
olvidable,1
meh total,1
😍 meh total,1
del asco de verdad,1
🎬 nada rescatable,1
re mala,1
meh total de verdad,1
nada rescatable,1
actuaciones flojas,1
meh total,1
ultra pésima,1
💩 no me gustó,1
💩 meh total,1
meh total posta,1
no me gustó,1
actuaciones flojas,1
🔥 muy lenta,1
no me gustó,1
guion flojo mucho,1
re mala,1
nada rescatable,1
olvidable,1
😴 ultra pésima,1
del asco,1
re mala posta,1
actuaciones flojas,1
muy lenta,1
nada rescatable,1
ultra pésima,1
ultra pésima,1
actuaciones flojas,1
😭 guion flojo,1
ultra pésima,1
actuaciones flojas,1
😴 muy lenta,1
no me gustó,1
nada rescatable,1
guion flojo,1
😭 del asco,1
🔥 meh total,1
meh total,1
😭 muy lenta,1
re mala,1
🎬 nada rescatable,1
😭 nada rescatable,1
😭 re mala,1
nada rescatable,1
muy lenta,1
💩 del asco,1
re mala,1
😭 meh total,1
actuaciones flojas,1
muy lenta,1
no me gustó,1
🎬 ultra pésima,1
🔥 nada rescatable,1
😍 re mala,1
del asco en serio,1
no me gustó mal,1
guion flojo,1
ultra pésima de verdad,1
guion flojo,1
muy lenta en serio,1
😍 ultra pésima,1
guion flojo demasiado,1
del asco,1
😍 nada rescatable,1
😴 olvidable,1
nada rescatable,1
no me gustó mal,1
💩 guion flojo,1
actuaciones flojas mucho,1
muy lenta,1
meh total,1
del asco posta,1
del asco,1
muy lenta,1
olvidable,1
😍 muy lenta,1
olvidable en serio,1
ultra pésima posta,1
olvidable,1
ultra pésima,1
💩 no me gustó,1
😍 muy lenta,1
😭 guion flojo,1
😭 re mala,1
re mala en serio,1
olvidable,1
🔥 nada rescatable,1
nada rescatable de verdad,1
actuaciones flojas de verdad,1
nada rescatable,1
ultra pésima,1
del asco,1
💩 actuaciones flojas,1
guion flojo demasiado,1
💩 olvidable,1
🎬 no me gustó,1
muy lenta de verdad,1
olvidable,1
🔥 muy lenta,1
muy lenta,1
ultra pésima demasiado,1
😍 del asco,1
del asco mal,1
nada rescatable,1
ultra pésima posta,1
nada rescatable,1
🎬 guion flojo,1
guion flojo,1
no me gustó,1
😴 no me gustó,1
🎬 del asco,1
del asco demasiado,1
muy lenta,1
🔥 ultra pésima,1
muy lenta posta,1
🔥 nada rescatable,1
olvidable,1
meh total de verdad,1
😴 olvidable,1
ultra pésima demasiado,1
🎬 re mala,1
actuaciones flojas,1
actuaciones flojas de verdad,1
😍 no me gustó,1
🔥 ultra pésima,1
meh total,1
olvidable,1
meh total de verdad,1
😭 ultra pésima,1
nada rescatable,1
🎬 del asco,1
🔥 re mala,1
actuaciones flojas en serio,1
nada rescatable mal,1
meh total,1
ultra pésima,1
💩 re mala,1
😴 no me gustó,1
actuaciones flojas,1
ultra pésima de verdad,1
del asco demasiado,1
meh total en serio,1
😴 ultra pésima,1
😍 del asco,1
muy lenta,1
del asco,1
🔥 actuaciones flojas,1
🔥 nada rescatable,1
del asco,1
nada rescatable,1
🎬 meh total,1
🔥 muy lenta,1
😍 olvidable,1
del asco,1
actuaciones flojas,1
actuaciones flojas,1
💩 muy lenta,1
actuaciones flojas en serio,1
del asco,1
actuaciones flojas,1
😭 re mala,1
😭 no me gustó,1
del asco,1
guion flojo,1
actuaciones flojas,1
😍 re mala,1
actuaciones flojas,1
😭 guion flojo,1
actuaciones flojas,1
guion flojo,1
meh total de verdad,1
😍 ultra pésima,1
😴 no me gustó,1
del asco,1
re mala en serio,1
😍 del asco,1
re mala,1
actuaciones flojas,1
muy lenta,1
🔥 actuaciones flojas,1
muy lenta,1
😍 actuaciones flojas,1
guion flojo mucho,1
re mala,1
😭 nada rescatable,1
del asco,1
muy lenta,1
😍 guion flojo,1
actuaciones flojas,1
no me gustó mal,1
re mala en serio,1
💩 actuaciones flojas,1
actuaciones flojas posta,1
ultra pésima,1
😴 del asco,1
muy lenta,1
meh total,1
😴 muy lenta,1
guion flojo,1
re mala,1
🎬 del asco,1
nada rescatable posta,1
💩 muy lenta,1
olvidable,1
actuaciones flojas,1
meh total,1
re mala,1
🔥 del asco,1
no me gustó,1
🎬 olvidable,1
💩 nada rescatable,1
muy lenta,1
💩 re mala,1
😭 muy lenta,1
guion flojo posta,1
re mala,1
meh total,1
muy lenta,1
😍 nada rescatable,1
😴 muy lenta,1
💩 actuaciones flojas,1
nada rescatable en serio,1
😭 guion flojo,1
🎬 ultra pésima,1
olvidable,1
no me gustó,1
olvidable,1
meh total en serio,1
ultra pésima,1
del asco,1
guion flojo,1
ultra pésima,1
re mala,1
💩 re mala,1
😭 muy lenta,1
re mala demasiado,1
😍 ultra pésima,1
muy lenta,1
olvidable,1
guion flojo,1
ultra pésima mucho,1
guion flojo,1
ultra pésima en serio,1
olvidable,1
nada rescatable,1
guion flojo mal,1
re mala,1
🎬 muy lenta,1
😴 no me gustó,1
nada rescatable en serio,1
😴 nada rescatable,1
ultra pésima en serio,1
meh total,1
muy lenta mal,1
no me gustó,1
meh total,1
del asco en serio,1
olvidable,1
olvidable posta,1
no me gustó mal,1
del asco,1
nada rescatable,1
muy lenta de verdad,1
no me gustó,1
re mala,1
olvidable en serio,1
😴 ultra pésima,1
😍 del asco,1
no me gustó,1
😴 no me gustó,1
😭 olvidable,1
del asco posta,1
guion flojo mucho,1
nada rescatable,1
nada rescatable,1
actuaciones flojas en serio,1
olvidable,1
😭 ultra pésima,1
actuaciones flojas,1
💩 nada rescatable,1
🎬 meh total,1
actuaciones flojas demasiado,1
😍 nada rescatable,1
no me gustó,1
guion flojo,1
re mala,1
😴 nada rescatable,1
muy lenta demasiado,1
guion flojo,1
no me gustó,1
meh total,1
olvidable demasiado,1
💩 olvidable,1
🎬 meh total,1
olvidable demasiado,1
actuaciones flojas posta,1
nada rescatable,1
🎬 actuaciones flojas,1
meh total,1
guion flojo,1
meh total,1
muy lenta,1
🔥 re mala,1
actuaciones flojas,1
😭 meh total,1
re mala,1
re mala mal,1
🔥 nada rescatable,1
guion flojo,1
😴 ultra pésima,1
muy lenta,1
😍 muy lenta,1
no me gustó,1
actuaciones flojas,1
del asco,1
🎬 no me gustó,1
😴 nada rescatable,1
olvidable de verdad,1
nada rescatable,1
olvidable,1
re mala,1
actuaciones flojas mal,1
😭 del asco,1
💩 re mala,1
guion flojo demasiado,1
del asco,1
olvidable,1
del asco,1
💩 del asco,1
muy lenta en serio,1
meh total demasiado,1
del asco,1
😍 olvidable,1
re mala,1
olvidable de verdad,1
ultra pésima,1
nada rescatable,1
actuaciones flojas de verdad,1
olvidable mal,1
💩 actuaciones flojas,1
ultra pésima,1
💩 meh total,1
😭 olvidable,1
ultra pésima,1
meh total mal,1
🔥 del asco,1
del asco,1
actuaciones flojas de verdad,1
del asco,1
re mala,1
😭 guion flojo,1
ultra pésima,1
ultra pésima,1
nada rescatable,1
meh total,1
😭 re mala,1
del asco,1
ultra pésima,1
guion flojo mal,1
actuaciones flojas,1
re mala,1
muy lenta demasiado,1
😭 actuaciones flojas,1
olvidable,1
😭 guion flojo,1
actuaciones flojas,1
😭 guion flojo,1
no me gustó,1
😍 muy lenta,1
😭 guion flojo,1
re mala,1
meh total mal,1
🎬 actuaciones flojas,1
del asco,1
muy lenta mal,1
meh total,1
meh total mal,1
😴 del asco,1
del asco de verdad,1
guion flojo,1
olvidable,1
meh total,1
del asco,1
actuaciones flojas,1
meh total,1
😭 meh total,1
🎬 no me gustó,1
nada rescatable,1
🔥 ultra pésima,1
😭 meh total,1
😍 muy lenta,1
😴 no me gustó,1
no me gustó,1
😴 actuaciones flojas,1
del asco,1
😴 guion flojo,1
meh total,1
re mala demasiado,1
del asco,1
guion flojo,1
re mala posta,1
ultra pésima,1
actuaciones flojas,1
guion flojo,1
nada rescatable,1
nada rescatable mal,1
guion flojo,1
nada rescatable,1
actuaciones flojas,1
😍 no me gustó,1
nada rescatable,1
re mala,1
re mala,1
actuaciones flojas,1
olvidable,1
muy lenta,1
😴 olvidable,1
del asco posta,1
del asco posta,1
nada rescatable de verdad,1
😍 nada rescatable,1
del asco,1
guion flojo,1
no me gustó,1
no me gustó,1
nada rescatable mal,1
muy lenta,1
actuaciones flojas demasiado,1
😴 nada rescatable,1
no me gustó,1
actuaciones flojas,1
😭 guion flojo,1
🔥 no me gustó,1
🔥 ultra pésima,1
💩 olvidable,1
🎬 muy lenta,1
🎬 re mala,1
del asco,1
🎬 re mala,1
😭 guion flojo,1
guion flojo,1
guion flojo demasiado,1
actuaciones flojas,1
😍 olvidable,1
re mala,1
ultra pésima,1
actuaciones flojas mucho,1
olvidable,1
🎬 del asco,1
😭 meh total,1
guion flojo de verdad,1
actuaciones flojas,1
ultra pésima,1
😍 nada rescatable,1
actuaciones flojas,1
😭 meh total,1
no me gustó de verdad,1
re mala,1
💩 olvidable,1
no me gustó,1
muy lenta demasiado,1
muy lenta,1
😭 re mala,1
💩 actuaciones flojas,1
🎬 del asco,1
🔥 olvidable,1
nada rescatable,1
muy lenta demasiado,1
ultra pésima,1
😭 guion flojo,1
💩 guion flojo,1
actuaciones flojas demasiado,1
nada rescatable mal,1
muy lenta,1
🔥 meh total,1
re mala,1
😭 olvidable,1
😭 re mala,1
actuaciones flojas mucho,1
💩 re mala,1
guion flojo,1
ultra pésima,1
😭 actuaciones flojas,1
🔥 olvidable,1
no me gustó de verdad,1
re mala,1
del asco,1
olvidable,1
nada rescatable posta,1
guion flojo,1
re mala en serio,1
🔥 guion flojo,1
actuaciones flojas,1
nada rescatable mucho,1
actuaciones flojas,1
🔥 re mala,1
no me gustó,1
nada rescatable demasiado,1
actuaciones flojas,1
actuaciones flojas,1
😍 ultra pésima,1
ultra pésima,1
re mala demasiado,1
ultra pésima,1
olvidable,1
guion flojo,1
del asco,1
olvidable,1
actuaciones flojas,1
guion flojo mal,1
olvidable,1
🔥 olvidable,1
guion flojo,1
re mala mucho,1
re mala,1
😴 actuaciones flojas,1
🎬 no me gustó,1
🔥 no me gustó,1
olvidable,1
meh total,1
del asco,1
olvidable demasiado,1
nada rescatable,1
muy lenta,1
ultra pésima,1
no me gustó,1
actuaciones flojas,1
🔥 guion flojo,1
💩 meh total,1
olvidable posta,1
re mala,1
ultra pésima,1
actuaciones flojas,1
meh total,1
💩 muy lenta,1
re mala demasiado,1
😍 olvidable,1
🎬 re mala,1
re mala,1
guion flojo,1
nada rescatable mucho,1
meh total mal,1
😍 guion flojo,1
re mala,1
re mala,1
meh total mal,1
💩 muy lenta,1
no me gustó,1
muy lenta,1
re mala,1
del asco,1
😭 ultra pésima,1
re mala,1
del asco,1
muy lenta,1
del asco,1
meh total,1
guion flojo,1
🔥 guion flojo,1
nada rescatable de verdad,1
nada rescatable,1
😭 nada rescatable,1
del asco de verdad,1
muy lenta,1
actuaciones flojas mal,1
😍 guion flojo,1
muy lenta,1
muy lenta,1
olvidable,1
olvidable,1
guion flojo,1
re mala,1
no me gustó,1
😍 re mala,1
muy lenta,1
guion flojo,1
re mala,1
ultra pésima,1
guion flojo posta,1
💩 actuaciones flojas,1
muy lenta,1
😍 olvidable,1
del asco,1
meh total demasiado,1
💩 olvidable,1
guion flojo,1
💩 guion flojo,1
💩 actuaciones flojas,1
🎬 re mala,1
muy lenta,1
💩 guion flojo,1
ultra pésima,1
